number,sharpe_ratio,calmar_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_middlelines,params_bb_multiply,params_bb_timeperiod,params_channel_middlelines,params_channel_multiply,params_channel_timeperiod,params_fastk_period,params_lower_KDJ,params_slowd_matype,params_slowd_period,params_slowk_matype,params_slowk_period,params_upper_KDJ,system_attrs_nsga2:generation,state
92,0.1208026447096611,-0.015573840428022786,-0.051839842497930846,2023-11-29 20:39:18.654353,2023-11-29 20:39:18.930819,0 days 00:00:00.276466,2,1.1570873461038993,22,SMA,2.7031724459952393,25,7,28,1,3,2,3,87,1,COMPLETE
93,,,,2023-11-29 20:39:18.932783,2023-11-29 20:39:19.201241,0 days 00:00:00.268458,1,2.7179662343880238,54,WMA,1.658558694329506,31,14,26,2,5,1,4,84,1,FAIL
94,0.06375445338120028,-0.01624835924640909,-0.044314394273434345,2023-11-29 20:39:19.204231,2023-11-29 20:39:19.478622,0 days 00:00:00.274391,1,1.0038041954833377,17,WMA,1.2409977253603481,33,16,29,0,3,0,5,90,1,COMPLETE
95,0.6541877995520495,0.5042935846528399,0.6283808732287419,2023-11-29 20:39:19.479658,2023-11-29 20:39:19.742044,0 days 00:00:00.262386,0,2.1917134912915017,17,WMA,2.8712708433722685,52,14,24,2,4,2,5,89,1,COMPLETE
96,0.4199734005129115,0.12636516270059012,0.29282141984486076,2023-11-29 20:39:19.743041,2023-11-29 20:39:20.015440,0 days 00:00:00.272399,0,2.3313187723219206,22,SMA,2.5573719482415207,19,15,20,1,5,0,5,90,1,COMPLETE
97,0.3804653213430144,0.33068810781938274,0.12618695519908157,2023-11-29 20:39:20.017435,2023-11-29 20:39:20.283226,0 days 00:00:00.265791,0,2.494551052365515,11,WMA,2.0837492581439623,43,16,19,2,4,1,4,84,1,COMPLETE
98,-0.1952518080189659,-0.07480358566259325,-0.11574481546517362,2023-11-29 20:39:20.284225,2023-11-29 20:39:20.538352,0 days 00:00:00.254127,2,1.4440948665522946,54,WMA,1.8302778119604255,49,20,20,0,4,0,5,70,1,COMPLETE
99,,,,2023-11-29 20:39:20.539349,2023-11-29 20:39:20.803649,0 days 00:00:00.264300,2,2.507061906283913,60,WMA,1.4021643637895358,26,7,10,1,5,0,5,72,1,FAIL
100,-0.31479865694414266,-0.12168664483949262,-0.05406248792766817,2023-11-29 20:39:20.805121,2023-11-29 20:39:21.090755,0 days 00:00:00.285634,2,2.2639817842766536,57,SMA,2.8500685716569567,10,16,18,1,5,1,4,85,1,COMPLETE
101,,,,2023-11-29 20:39:21.091752,2023-11-29 20:39:21.375039,0 days 00:00:00.283287,2,1.8008242751303907,25,SMA,1.2767334265355836,59,19,12,1,4,2,5,74,1,FAIL
102,0.6964473628924845,0.42800968788542526,1.1134488654169576,2023-11-29 20:39:21.376036,2023-11-29 20:39:21.679177,0 days 00:00:00.303141,0,1.0915083230429206,45,EMA,2.8444663661310803,19,13,22,2,5,2,4,90,1,COMPLETE
103,,,,2023-11-29 20:39:21.680141,2023-11-29 20:39:21.944052,0 days 00:00:00.263911,0,1.5221504875155865,59,EMA,1.0718890708849367,29,18,15,1,5,1,4,70,1,FAIL
