uid,from_uid,value,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window
826,,4.383801129048291,60,4,36,120,68
827,,4.4322972054347805,64,4,40,120,68
828,,3.77196172743268,68,4,44,120,64
829,,3.711948302506385,64,8,40,120,72
830,,2.6526117230985675,60,4,36,144,68
831,,3.87946524776094,72,8,40,120,68
832,,4.057901658315853,64,4,40,120,64
833,,4.147616299781392,64,4,44,120,68
834,,2.5406346642971043,64,4,40,96,72
836,,4.383801129048291,60,4,36,120,68
837,,2.5844636699299834,68,24,40,96,64
840,,4.424350506325201,60,4,40,120,68
841,,3.975528036655181,68,4,36,120,68
842,,2.746952235160358,64,4,40,144,68
843,,2.7099070962870053,64,8,44,120,64
844,,4.11109709844076,64,4,40,120,72
845,,4.383801129048291,60,4,36,120,68
848,,3.833784500393129,64,4,44,120,72
849,,4.4322972054347805,64,4,40,120,68
850,,4.424350506325201,60,4,40,120,68
851,,2.6969994837876894,68,8,36,144,44
852,,4.057901658315853,64,4,40,120,64
853,,4.4322972054347805,64,4,40,120,68
854,,3.3156612785106434,44,4,44,120,72
855,,3.971949145677128,60,8,40,120,68
856,,3.9700718375424495,64,4,36,120,64
857,,4.0135191330815445,64,8,40,120,68
859,,4.147616299781392,64,4,44,120,68
861,,4.1198833231230045,60,4,40,120,64
864,,4.4322972054347805,64,4,40,120,68
865,,3.877780763733148,60,8,36,120,64
866,,4.09204429593979,68,4,40,120,68
867,,2.5406346642971043,64,4,40,96,72
868,,4.147616299781392,64,4,44,120,68
869,,4.0135191330815445,64,8,40,120,68
870,,4.391950886276888,64,4,36,120,68
