number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
129,2.495200222663219,2.280258255951584,9.290178226708406,41.02564102564102,2023-12-06 10:27:34.029518,2023-12-06 10:27:34.228718,0 days 00:00:00.199200,52,8,176,2,COMPLETE
130,2.5918229373258206,2.3568149408810286,18.82300367153591,45.65217391304348,2023-12-06 10:27:34.229622,2023-12-06 10:27:34.428431,0 days 00:00:00.198809,36,16,156,2,COMPLETE
131,,,,,2023-12-06 10:27:34.429216,2023-12-06 10:27:34.629110,0 days 00:00:00.199894,52,24,24,2,FAIL
132,2.2265387314542355,3.9267338490330532,11.275995401501252,48.275862068965516,2023-12-06 10:27:34.630210,2023-12-06 10:27:34.829300,0 days 00:00:00.199090,68,52,192,2,COMPLETE
133,3.102255543852875,3.380535639717314,23.91195259516805,38.88888888888889,2023-12-06 10:27:34.830115,2023-12-06 10:27:35.029403,0 days 00:00:00.199288,8,12,164,2,COMPLETE
134,1.7567727409813374,2.139525409034357,6.1684198525663065,33.33333333333333,2023-12-06 10:27:35.030060,2023-12-06 10:27:35.226324,0 days 00:00:00.196264,48,64,88,2,COMPLETE
135,-1.1496359630032873,0.781042050242618,-2.548155623152852,34.78260869565217,2023-12-06 10:27:35.227027,2023-12-06 10:27:35.425998,0 days 00:00:00.198971,52,4,16,2,COMPLETE
136,2.143243084695122,2.2016528324288047,10.215691602407713,32.432432432432435,2023-12-06 10:27:35.426863,2023-12-06 10:27:35.626889,0 days 00:00:00.200026,8,28,88,2,COMPLETE
137,2.714940817056317,2.5327665317706853,23.575347032062577,43.58974358974359,2023-12-06 10:27:35.627583,2023-12-06 10:27:35.822158,0 days 00:00:00.194575,8,4,100,2,COMPLETE
138,2.8633199293996547,3.651455917988526,18.409737648068912,35.714285714285715,2023-12-06 10:27:35.822865,2023-12-06 10:27:36.013337,0 days 00:00:00.190472,48,40,112,2,COMPLETE
139,0.9300968786443635,1.211933626534928,1.8707867891576326,47.27272727272727,2023-12-06 10:27:36.013969,2023-12-06 10:27:36.204479,0 days 00:00:00.190510,36,4,68,2,COMPLETE
140,-0.7930278198375756,0.5202075980350997,-1.5115779486492957,20.0,2023-12-06 10:27:36.205189,2023-12-06 10:27:36.397354,0 days 00:00:00.192165,68,56,4,2,COMPLETE
141,0.19768677454033828,0.9988703319558512,0.38982724557831866,28.57142857142857,2023-12-06 10:27:36.398063,2023-12-06 10:27:36.594286,0 days 00:00:00.196223,28,56,76,2,COMPLETE
